time,exp
0.055027514,-1.556885648
0.105052526,-0.727382719
0.155077539,-0.113871326
0.205102551,0.243805876
0.255127564,0.411134913
0.305152576,0.494163196
0.355177589,0.590316757
0.405202601,0.749394986
0.455227614,0.948842882
0.505252626,1.128771403
0.555277639,1.246555824
0.605302651,1.290388866
0.655327664,1.266773597
0.705352676,1.188763623
0.755377689,1.070549229
0.805402701,0.926016953
0.855427714,0.768935256
0.905452726,0.613124586
0.955477739,0.471096743
1.005502751,0.35048571
1.055527764,0.250561283
1.105552776,0.163186904
1.155577789,0.078848276
1.205602801,-0.005975246
1.255627814,-0.082200287
1.305652826,-0.125063877
1.355677839,-0.108687048
1.405702851,-0.037932376
1.455727864,0.054097666
1.505752876,0.139752225
1.555777889,0.208306137
1.605802901,0.25960956
1.655827914,0.297569269
1.705852926,0.326444171
1.755877939,0.348927697
1.805902951,0.365624671
1.855927964,0.375658778
1.905952976,0.377677449
1.955977989,0.370541363
2.006003002,0.353517581
2.056028014,0.326177222
2.106053027,0.288239233
2.156078039,0.239526893
2.206103052,0.180221142
2.256128064,0.111841532
2.306153077,0.039950097
2.356178089,-0.020688285
2.406203102,-0.045593579
2.456228114,-0.022695986
2.506253127,0.029155251
2.556278139,0.084776168
2.606303152,0.131611973
2.656328164,0.166513423
2.706353177,0.19024248
2.756378189,0.20495439
2.806403202,0.213224954
2.856428214,0.217443396
2.906453227,0.21920364
2.956478239,0.218898456
3.006503252,0.215857223
3.056528264,0.208987531
3.106553277,0.197514717
3.156578289,0.181506781
3.206603302,0.162138073
3.256628314,0.141664548
3.306653327,0.122868757
3.356678339,0.107760068
3.406703352,0.096120927
3.456728364,0.085275909
3.506753377,0.071550211
3.556778389,0.052567787
3.606803402,0.030312919
3.656828414,0.015513626
3.706853427,0.025888742
3.756878439,0.065123584
3.806903452,0.115388044
3.856928464,0.160155549
3.906953477,0.192759423
3.956978489,0.212000205
4.007003502,0.218760509
4.057028514,0.214847984
4.107053527,0.202813753
4.157078539,0.185984959
4.207103552,0.168116851
4.257128564,0.152204542
4.307153577,0.138947619
4.357178589,0.12642454
4.407203602,0.111438878
4.457228614,0.091154844
4.507253627,0.064168107
4.557278639,0.031769001
4.607303652,0.000600072
4.657328664,-0.016010304
4.707353677,-0.00924125
4.757378689,0.012128561
4.807403702,0.034369009
4.857428714,0.051336063
4.907453727,0.06362786
4.957478739,0.075466317
5.007503752,0.091356115
5.057528764,0.112186497
5.107553777,0.134552813
5.157578789,0.154025282
5.207603802,0.167703428
5.257628814,0.174427159
5.307653827,0.174120907
5.357678839,0.167257855
5.407703852,0.15460821
5.457728864,0.13719669
5.507753877,0.116378816
5.557778889,0.093926269
5.607803902,0.071936589
5.657828914,0.052368436
5.707853927,0.036337564
5.757878939,0.023869505
5.807903952,0.014627136
5.857928964,0.009065709
5.907953977,0.008813442
5.957978989,0.015444377
6.008004002,0.028517365
6.058029015,0.045341583
6.108054027,0.062719747
6.15807904,0.078391796
6.208104052,0.091274482
6.258129065,0.101129267
6.308154077,0.108192607
6.35817909,0.112904704
6.408204102,0.115727667
6.458229115,0.117029729
6.508254127,0.117016775
6.55827914,0.115695694
6.608304152,0.112861067
6.658329165,0.108103069
6.708354177,0.100834294
6.75837919,0.090333513
6.808404202,0.075828668
6.858429215,0.056742834
6.908454227,0.033553386
6.95847924,0.010404997
7.008504252,-0.001111961
7.058529265,0.009809474
7.108554277,0.035337019
7.15857929,0.0616434
7.208604302,0.082551483
7.258629315,0.096832186
7.308654327,0.104939527
7.35867934,0.107953617
7.408704352,0.107377141
7.458729365,0.105001974
7.508754377,0.10246625
7.55877939,0.100562967
7.608804402,0.098898786
7.658829415,0.096311445
7.708854427,0.091628663
7.75887944,0.084214603
7.808904452,0.074275019
7.858929465,0.063121069
7.908954477,0.053237437
7.95897949,0.047334764
8.009004502,0.046154951
8.059029515,0.047461319
8.109054527,0.047829442
8.15907954,0.044842614
8.209104552,0.038391098
8.259129565,0.032302428
8.309154577,0.034841361
8.35917959,0.050566556
8.409204602,0.072926418
8.459229615,0.093578202
8.509254627,0.108727911
8.55927964,0.117560959
8.609304652,0.120411409
8.659329665,0.118064808
8.709354677,0.111622093
8.75937969,0.102546896
8.809404702,0.0926254
8.859429715,0.083542563
8.909454727,0.0760728
8.95947974,0.069582557
9.009504752,0.062460233
9.059529765,0.052996351
9.109554777,0.040044282
9.15957979,0.023678977
9.209604802,0.006732768
9.259629815,-0.003338291
9.309654827,0.000398077
9.35967984,0.013914162
9.409704852,0.028668168
9.459729865,0.040631951
9.509754877,0.04963669
9.55977989,0.057201566
9.609804902,0.065056192
9.659829915,0.073915718
9.709854927,0.083105587
9.75987994,0.091305679
9.809904952,0.097410845
9.859929965,0.100810349
9.909954977,0.101276531
9.95997999,0.098788214
