time,exp
0.055028915,-1.669250488
0.10505867,-0.715805054
0.155075073,-0.110424042
0.205085754,0.241413116
0.255104065,0.419891357
0.305152893,0.473022461
0.355201721,0.556640625
0.405250549,0.724884033
0.455299377,0.928756714
0.505340576,1.121520996
0.555389404,1.255950928
0.605438232,1.30581665
0.655487061,1.26272583
0.705535889,1.186950684
0.755584717,1.062713623
0.805633545,0.920120239
0.855682373,0.765838623
0.905731201,0.620407104
0.955780029,0.481994629
1.005828857,0.361976624
1.055877686,0.268348694
1.105926514,0.185062408
1.155975342,0.102645874
1.20602417,0.013704062
1.256072998,-0.077066422
1.306121826,-0.14239502
1.356170654,-0.145324707
1.406219482,-0.077772141
1.456268311,0.018048763
1.506317139,0.113946915
1.556365967,0.190189362
1.606414795,0.238822937
1.656463623,0.278182983
1.706512451,0.30897522
1.756561279,0.335006714
1.806610107,0.356384277
1.856658936,0.371559143
1.906707764,0.378158569
1.956756592,0.381706238
2.006774902,0.36995697
2.05682373,0.347953796
2.106872559,0.315078735
2.156921387,0.271377563
2.206970215,0.213233948
2.257019043,0.143154144
2.307067871,0.065231323
2.357116699,-0.007194757
2.407165527,-0.044081688
2.457214355,-0.023079872
2.507263184,0.02816534
2.557312012,0.085216522
2.60736084,0.130680084
2.657409668,0.160198212
2.707458496,0.1772995
2.757507324,0.190795898
2.807556152,0.19600296
2.85760498,0.198104858
2.907653809,0.200649261
2.957702637,0.202968597
3.007751465,0.20401001
3.057800293,0.200836182
3.107849121,0.189891815
3.157897949,0.175624847
3.207946777,0.155891418
3.257995605,0.138881683
3.308044434,0.126960754
3.358093262,0.122449875
3.40814209,0.123855591
3.458190918,0.125766754
3.508239746,0.119028091
3.558288574,0.100484848
3.608337402,0.068696976
3.65838623,0.030382156
3.708435059,0.014202833
3.758483887,0.049193382
3.808532715,0.110332489
3.858581543,0.168560028
3.908630371,0.204860687
3.958679199,0.227264404
4.008666992,0.232025146
4.05871582,0.224555969
4.108764648,0.204994202
4.158813477,0.180820465
4.208862305,0.159099579
4.258911133,0.143642426
4.308959961,0.135017395
4.359008789,0.130023956
4.409057617,0.123041153
4.459106445,0.107887268
4.509155273,0.081588745
4.559204102,0.043738365
4.60925293,0.002099276
4.659301758,-0.023537159
4.709350586,-0.008044958
4.759399414,0.026350498
4.809448242,0.056472778
4.85949707,0.07375145
4.909545898,0.07988739
4.959594727,0.078178406
5.009643555,0.07787323
5.059692383,0.092433929
5.109741211,0.119287491
5.159790039,0.147708893
5.209838867,0.170921326
5.259887695,0.185127258
5.309936523,0.188434601
5.359985352,0.183647156
5.41003418,0.170650482
5.460083008,0.151218414
5.510131836,0.127063751
5.560180664,0.100862503
5.610229492,0.079357147
5.66027832,0.065084457
5.710327148,0.056343079
5.760375977,0.049715042
5.810424805,0.042777061
5.860473633,0.032540321
5.910522461,0.021062851
5.960571289,0.014389753
6.010620117,0.01741457
6.060668945,0.032501221
6.110717773,0.052143097
6.160766602,0.071182251
6.21081543,0.086734772
6.260864258,0.097856522
6.310913086,0.104799271
6.360961914,0.108282089
6.411010742,0.111532211
6.46105957,0.114095688
6.511108398,0.119710922
6.561157227,0.124340057
6.611206055,0.127601624
6.661254883,0.130542755
6.711303711,0.13066864
6.761352539,0.125579834
6.811401367,0.11359787
6.861450195,0.09377861
6.911499023,0.066226959
6.961547852,0.031215668
7.01159668,0.0045228
7.061645508,0.014246941
7.111694336,0.048933983
7.161743164,0.082159042
7.211791992,0.10458374
7.26184082,0.116418839
7.311889648,0.119485855
7.361938477,0.116102219
7.411987305,0.108638763
7.462036133,0.100208282
7.512084961,0.097373962
7.562133789,0.098327637
7.612182617,0.103393555
7.662231445,0.106243134
7.712280273,0.10477829
7.762329102,0.098138809
7.81237793,0.085174561
7.862426758,0.069959641
7.912475586,0.059253693
7.962524414,0.060111046
8.012207031,0.070646286
8.061035156,0.083234787
8.109863281,0.092502594
8.158691406,0.09331131
8.207519531,0.084270477
8.256347656,0.066555023
8.305175781,0.044703484
8.354003906,0.039165497
8.402832031,0.063400269
8.451660156,0.095870972
8.500488281,0.119537354
8.549316406,0.133945465
8.598144531,0.138778687
8.646972656,0.137817383
8.695800781,0.129291534
8.744628906,0.11564827
8.793457031,0.100292206
8.842285156,0.087120056
8.891113281,0.082162857
8.939941406,0.083415985
8.988769531,0.085485458
9.037597656,0.083955765
9.086425781,0.074289322
9.135253906,0.056289673
9.184082031,0.029766083
9.232910156,0.000956744
9.281738281,-0.003143072
9.330566406,0.022593021
9.379394531,0.049324036
9.428222656,0.066585541
9.477050781,0.074337006
9.525878906,0.074302673
9.574707031,0.069913864
9.623535156,0.066698074
9.672363281,0.072052002
9.721191406,0.08506012
9.770019531,0.099998474
9.818847656,0.112283707
9.867675781,0.120265961
9.916503906,0.123052597
