time,th1,w1,th2,w2
0.00000000000000000000000000000000,3.14159265358979323846264338327950,0.00000000000000000000000000000000,-0.17453292519943295769236907684886,0.69813170079773183076947630739545
0.00500250125062531265632816408204,3.14161038919510778567520466608899,0.00423405477901146017669835014672,-0.17042334482640135988062187217338,0.71759942484381817397774396773367
0.01000500250125062531265632816408,3.14165250386115623252790575868854,0.00835197077682407685107313989863,-0.16620087746397719572814562422866,0.73670223642729154219209405660229
0.01500750375187593796898449224612,3.14171830939164859210279216685576,0.01235237525366538065611846311845,-0.16186767524695372710802464849946,0.75542653513123116089494637042648
0.02001000500250125062531265632816,3.14180710932439343201036644004198,0.01623401098660762218436502985899,-0.15742596976675912498011357717693,0.77375846353811281916909728288600
0.02501250625312656328164082041021,3.14191819962705753092414196036973,0.01999574035137443894921704716062,-0.15287807353994331801960177029888,0.79168392468834936670086234943148
0.03001500750375187593796898449225,3.14205086941909764074964045589935,0.02363654880361543201880899152767,-0.14822638137194343478670447901411,0.80918860254769272500983507374400
0.03501750875437718859429714857429,3.14220440171637396177880654428759,0.02715554766794183269297286723731,-0.14347337159855356801036947446489,0.82625798562284778159872060635244
0.04002001000500250125062531265633,3.14237807419440188485575195187640,0.03055197614398414025266393978615,-0.13862160718673360548738260164198,0.84287739384616169906426210836351
0.04502251125562781390695347673837,3.14257115996564908532038353804072,0.03382520244159254640388078400424,-0.13367373667571132497676923208699,0.85903200882717025274146553890570
0.05002501250625312656328164082041,3.14278292836575025945632229110010,0.03697472396226704457602778890142,-0.12863249493878859523103032643223,0.87470690754085675401044101208232
0.05502751375687843921960980490245,3.14301264574300406455601869957360,0.04000016645116323185989372661159,-0.12350070374588450885857189460333,0.88988709948954510820580789988575
0.06003001500750375187593796898449,3.14325957624504969377688980233383,0.04290128205371969451836442127319,-0.11828127210666462941841490768884,0.90455756733735033150411899769661
0.06503251625812906453226613306653,3.14352298259620844462563679264266,0.04567794622318925048849714540603,-0.11297719637414555305895137918741,0.91870331097312137778943594737880
0.07003501750875437718859429714857,3.14380212685863370611276675672403,0.04833015344015973335953547985870,-0.10759156008895644108579836024080,0.93230939491005862724727287223533
0.07503751875937968984492246123062,3.14409627117015632028019583417565,0.05085801172247295354220887765989,-0.10212753354501144846932902032702,0.94536099887807044890956782136273
0.08004002001000500250125062531266,3.14440467845155638509333456950251,0.05326173592365576567971426233385,-0.09658837305822401977738230323310,0.95784347140903756144847286369539
0.08504252126063031515757878939470,3.14472661307595163884651084468960,0.05554163983982821865812783843912,-0.09097741992109730306682199948564,0.96974238615626907017716384402305
0.09004502251125562781390695347674,3.14506134149307966330765813884710,0.05769812716870787098493496755955,-0.08529809902757122091475833386872,0.98104360062855472995750004064703
0.09504752376188094047023511755878,3.14540813280147738036823527210151,0.05973168138933493270205316976574,-0.07955391715440694145003957850292,0.99173331695754190910505578174533
0.10005002501250625312656328164082,3.14576625926193522038334976484267,0.06164285465694152447699945103499,-0.07374846088764747230829521125001,1.00179814425608101240595934896972
0.10505252626313156578289144572286,3.14613499674613020725305474334251,0.06343225583332244883037850045397,-0.06788539418530457952549354071484,1.01122516206624474184751416873735
0.11005502751375687843921960980490,3.14651362511502351038953599627344,0.06510053779839156401413749221365,-0.06196845557037384162720905855919,1.02000198434062141484223450837854
0.11505752876438219109554777388694,3.14690142852244089213506033097942,0.06664838421251919735355090241966,-0.05600145495154817781368330519324,1.02811682335098288662848549569300
0.12006003001500750375187593796898,3.14729769564023132532092555950166,0.06807649592089552231739038192742,-0.04998827007255211853607229156494,1.03555855287633368015424660098019
0.12506253126563281640820410205103,3.14770171980250727501093368802113,0.06938557720969947300181275054025,-0.04393284259481045136501769705395,1.04231676998942114861867906494468
0.13006503251625812906453226613307,3.14811279906769208606617804639689,0.07057632213844972415651307909492,-0.03783917382214151921939367838146,1.04838185473867570127454330834421
0.13506753376688344172086043021511,3.14853023619841305054170000793156,0.07164940118282026667545162284459,-0.03171132008026371232208774198779,1.05374502701271388173308264886027
0.14007003501750875437718859429715,3.14895333856065598783885145907015,0.07260544842677481844155062140423,-0.02555338776805155428686877822440,1.05839839987816618987318741600331
0.14507253626813406703351675837919,3.14938141794500760441301637965364,0.07344504954161709119746123672158,-0.01936952810159643242025954062874,1.06233502869953601735986812066671
0.15007503751875937968984492246123,3.14981379031422151519064084875693,0.07416873078215653223916500546407,-0.01316393157613288853321928194980,1.06554895538250149112262921852395
0.15507753876938469234617308654327,3.15024977548271662888461387879024,0.07477694921655172024883460574052,-0.00694082217469849983808344127616,1.06803524712952968718742030954501
0.16008004002001000500250125062531,3.15068869673491589180769446173153,0.07527008438664665265753114147735,-0.00070445135591803338257575556798,1.06979002915838790558564433861376
0.16508254127063531765882941470735,3.15112988039052300684043710129783,0.07564843157012768329500970621936,0.00554090814354185600358683229208,1.07081051090911856444987411543926
0.17008504252126063031515757878939,3.15157265532588054162727173381664,0.07591219678520403950789068687763,0.01179096865358921750557457884164,1.07109500535181900844983837670957
0.17508754377188594297148574287144,3.15201635246142402822632188352264,0.07606149364357310072916442342884,0.01804143402193614853114759829539,1.07064294110421629661058815133763
0.18009004502251125562781390695348,3.15246030422591710911832942611178,0.07609634211918128061728551289270,0.02428800612984998813807507921556,1.06945486717224723848637070138935
0.18509254627313656828414207103552,3.15290384400860215721553267601729,0.07601666925988819148704553232790,0.03052639142931400910184322498533,1.06753245023604154312428042253004
0.19009504752376188094047023511756,3.15334630561061541962980579370942,0.07582231182783960235923151270579,0.03675230745810235739985503922511,1.06487846451505473213609909887547
